# 846 карточек игроков, заведённых 03.09.2026 сборщиком составов
# (docs/clubs_squads_wikidata.py --create-cards). В проде они лежат
# с active = false: голые, без фото, страны, описания и славы.
#
# ⚠️ QID ХРАНИТСЯ ЗДЕСЬ, ПОТОМУ ЧТО В cards ЕГО КОЛОНКИ НЕТ. Без него
# просмотры этим карточкам придётся искать резолвом по имени, а он
# промахивается молча: замер на первых четырёх карточках очереди —
# «Гарри Невилл», «Хын Мин Сон», «Расмус Хёйлунн», «Скотт МакТоминэй»
# — 4 из 4 не найдены. Отсюда и файл: угадывать нечего, имя ВЗЯТО
# из Викиданных, и вот сущность, откуда оно взято.
#
# card_id	name_ru	name_en	qid
a2677d88-8709-45e6-9208-df77da7075c4	Янник Кайтель	Yannik Keitel	Q86740704
a11c8289-bd26-4ba7-8dfc-dd17487d13f1	Рауль Де Томас	Raúl de Tomás	Q641387
78ae440b-bf98-4ba8-8631-9293b32bd146	Андрей Рациу	Andrei Rațiu	Q63226171
e0d52c9a-896f-45f3-b171-01817c5da40a	Унаи Лопес	Unai López	Q17627796
1764c54d-6ca6-45b9-a0ee-1ef5ba17b65e	Andrea Fernanda Tovar	Andrea Fernanda Tovar	Q24634770
6ecc9293-09da-4502-a44b-c9d59aa00d50	Нейтан Салиба	Nathan Saliba	Q116908746
fb391412-c9e0-4db8-b8b1-bf86213351e7	Серхи Кардона Бермудес	Sergi Cardona	Q64747242
cbfda02c-c158-4101-aabe-4a2e5ccda84a	Diego Conde	Diego Conde	Q99508995
2cf4ea4f-89a6-4dbb-a8dd-99a3269368ed	Тани Олувасейи	Tani Oluwaseyi	Q113564288
1a1699b6-cc4f-425d-bc01-c842cad595f7	Вийи Камбвала	Willy Kambwala	Q116821409
4048a83f-1834-4562-ae6b-a1ee0b1bee20	Мэтт Фриз	Matt Freese	Q62036070
b0dbf6b7-ee0a-4631-be74-a82c98fb11ef	Максимо Каррисо	Maximo Carrizo	Q113510190
f7a4fed3-5397-4521-bda6-6e10bda3470c	Кай Труин	Kai Trewin	Q87400019
c433e84b-f988-401a-a18b-cc49d48f0023	Luis Milla Manzanares	Luis Milla Manzanares	Q47477260
58368f3f-92cf-4fdb-a9e7-dfffc17789ae	Бамо Мейте	Bamo Meïté	Q116838606
54dda7f8-9de7-42cf-a792-e8017e027308	Франсуа Муге	François Régis Mughe	Q116952830
162382d4-fcdf-4778-b7b6-7d13b02d1a66	Дерек Корнильюс	Derek Cornelius	Q29901014
155da073-aa9d-40e9-8514-7b7ff400058f	Исмаэль Коне	Ismaël Koné	Q111009946
39e33552-1773-410b-b139-301181bf13fa	Фарис Мумбанья	Faris Pemi Moumbagna	Q55820199
62e8ac46-cff9-4861-ac41-5b7b797f4e47	Илья Васин	Ilya Vasin	Q131316623
5409c206-622b-4b53-849c-7ecb1235abb8	Антон Ковалёв	Anton Kavalioŭ	Q77711148
8628fdc4-f733-4230-af6b-9bf0069fa37d	Raúl Blanco Juncal	Raúl Blanco Juncal	Q130331696
f49c7074-052d-4577-a314-ce0314101af4	Юки Сома	Yūki Sōma	Q56349145
509c1881-34a3-4d11-800b-a637d7f90512	Arda Kemal Gülmez	Arda Kemal Gülmez	Q136297336
860e6f8e-2cdd-4b51-826f-1a70a5d33a2f	Enes İlik	Enes İlik	Q136297337
483e1848-8c0d-45c4-b354-f0aa9fe9042e	Ayaz Arslan	Ayaz Arslan	Q136297616
5c1b92fe-cc45-41ec-a0ae-fcd956901521	Yunus Tarhan	Yunus Tarhan	Q136297620
8436b3b2-fe9f-4fbc-9acc-65544d05e7a9	Berat Perçin	Berat Perçin	Q138003299
feb2ff7e-34ee-4069-8441-6a9ae1a55879	Hüseyin Ülgüt	Hüseyin Ülgüt	Q138003300
192f409f-acda-4695-b14a-26317e6b043c	Muhammed Yusuf Araz	Muhammed Yusuf Araz	Q138030887
ea739d0d-f2b7-4c9a-865e-80a69157a3a0	Урош Джюрджевич	Uroš Đurđević	Q13563769
99100759-6c90-4480-8cbd-3588585bb378	Рагнар Ахе	Ragnar Ache	Q29441774
18329345-c969-4be3-b94c-1f082aa898e9	Alina Kerschbaumer	Alina Kerschbaumer	Q140073898
c8fcd178-81ff-4a5e-82f9-cd08313a8be3	Эльес Схири	Ellyes Skhiri	Q20641500
2f7688c6-2982-42a1-9d26-ba191a5d212c	Рон-Роберт Цилер		Q155049
0a36469d-bc45-4e14-a2a9-7c68463f7538	Антон Штах	Anton Stach	Q66712655
8504af60-7cd8-4541-861d-5cdeb4a2c22b	Карл Дарлоу	Karl Darlow	Q1730695
244b522e-f4c0-4257-973b-bfa6200b05cf	Ао Танака	Ao Tanaka	Q27920148
391857f7-3c19-409e-a1f5-314094dbef82	Федерико Редондо	Federico Redondo	Q113027711
0ebdbb6a-e68e-4cf9-b6ac-5dbb3418770f	Рафаэль Нуньес	Rafael Núñez	Q107481656
