# Карточки игроков, у которых wikidata_qid указывает НЕ НА ЧЕЛОВЕКА.
# Найдено 04.09.2026 запросом P31=Q5 по всем 2884 QID карточек игроков.
#
# ПРИЧИНА — МОЯ. docs/cards_pageviews_world.py резолвил QID по титулу
# ру-вики (pvi.qids_for_ru_titles) БЕЗ P31-гарда, а у мононима статья с
# его именем — это страница ФАМИЛИИ: «Беллингем» → Q16479897
# «Bellingham (surname)» вместо Q66241169 «Jude Bellingham».
#
# Тем же промахом испорчены и просмотры: они сняты со страницы фамилии.
# У «Андерсона» en=24325 — это фамилия, а не игрок.
#
# Всего: 120 карточек, из них активных 110.
#
# id	имя	name_en	qid	fame	pageviews	языки
013fae7d-0568-4a6d-a8b4-a4a979e491d0	Алексей Ионов	Aleksei Ionov	Q4202787	1	50	ru
03d1689a-8fb2-4376-828f-fcdbffaa1960	Симао	Simão Sabrosa	Q4419500	1	37	ru
05cea5d3-1562-4152-936b-69375ae173f8	Владимир Кулик	Vladimir Kulik	Q4113053	1	35	ru
0bcfc303-4f9c-4668-a56d-77a8bd1cab7f	Дмитрий Воробьёв	Dmitriy Vorobyov	Q4125164	1	32	en
1a61bb0c-e1da-45b9-b1ba-809cd94abdc0	Александр Черников	Aleksandr Chernikov	Q16717901	1	29	en
8a441200-600c-4a6c-8633-e005b50c0fe4	Куим	Kuim	Q237441	1	87	ru
8f910f00-86d3-4818-942f-145e14963260	Виталий Денисов	Vitaliy Denisov	Q4157973	1	61	ko
9423b254-18d2-440f-973e-dde890754a1a	Александр Филимонов	Aleksandr Filimonov	Q4483880	1	113	en
d34568da-2512-486b-9e52-a9b3b927f7c3	Александр Максименко	Aleksandr Maksimenko	Q21855357	1	25	en
d39d6e60-f84f-420f-8340-b8504cebdae8	Евгений Ловчев	Evgeniy Lovchev	Q16671866	1	64	ko
d81d1ccd-af53-473e-8f89-57b47856cb15	Луизао	Luisão	Q4268360	1	45	ru
f2f673f9-efe2-48e8-96bc-1c6d822e07b3	Николай Комличенко	Nikolay Komlichenko	Q16229613	1	24	en
fbdc1000-85ed-4ec1-9191-9c1bf7cda1c1	Павел Яковлев	Pavel Yakovlev	Q4536937	1	101	en
08b4b567-cbde-4954-8312-d73fd1a46f78	Александр Головин	Aleksandr Golovin	Q1902144	None	547	en
113a9ad4-5013-4186-ae2b-6c450e0fc434	Виктор Коваленко	Viktor Kovalenko	Q20704860	None	27944	en,ko
170e1aec-f62f-4b0e-8466-31404f7178d6	Тьяго Силва	Thiago Silva	Q1269426	None	188	ar,en,es,fr,ja,ko,pt
1bf7d470-1055-42ec-97cd-e22a9ac0464f	Рикардо Кларк	Ricardo Clark	Q39168363	0	1	ru
2506d513-516e-4b98-b2a6-c0347ad50101	Роман Яремчук	Roman Yaremchuk	Q97315274	None	62623	
28e9d109-5944-4954-bb9f-03b3ed385d40	Холанд	Erling Haaland	Q1624254	None	265	ar,en,fr
441ce586-1dda-4bb4-b665-1c75bcede544	Варди	Jamie Vardy	Q7915569	None	268	en,fr
afd71c0f-16b2-4e71-a8a8-1e0a45fe18c4	Родриго	Rodrigo	Q7135459	None	2474	en,es,fr,ja,ko,pt,zh
da4c511b-67f7-41fc-a3bc-08b9e9b0b674	Аллан	Allan	Q406781	None	619	es,fr,ja
eaf9ca1b-6f4a-44d3-85c3-f03febb373b5	Луис Суарес	Luis Suárez	Q398140	None	202	ar,en,es,fr,ja,ko,pt,zh
ef2b6ba2-a701-474f-9734-4b83e9799d60	Нето	Neto	Q4317922	None	109	
